AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8
0,0.08092284912363867,0.270766749588236,0.09132728352291081,0.07560626469748156,0.34208868007759663,0.600896419676466,0.31363113985815744,0.22188868040164708
1,0.0209091050290685,0.3863605815274152,0.1315820665343035,0.06393645870468775,5e-324,0.5203953189688668,0.10177972038638598,0.12030469246833037
2,0.03304526324820766,0.2661251736610361,0.20763249901880088,0.09763144679380545,0.0,0.6666683960470425,5e-324,0.21970888543879627
3,0.057955225101322574,0.34664248726181807,0.19110810276553564,0.16988956607866548,5e-324,0.3743445350601172,0.1257020153249338,0.3191611051706732
4,0.24407917921520494,0.12387574682456899,0.17401740884691988,0.33645141364675873,0.21449085478936208,7.785604500253408e-05,0.41723260684228314,0.046608220539662
5,0.13063486382407394,0.4942019720064892,0.04110746973145892,0.052156072387397355,0.6192966104109181,0.5581874144144808,5e-324,0.27565201027226216
6,0.059323533980152617,0.2570822626941632,0.2372370317930774,0.21581406734789954,0.0,0.39920587828843906,0.07963095158958962,0.12120217083558439
7,0.286547661971226,3.945897652933995e-64,0.18402115877023684,0.272529535603097,0.23472662770287062,0.2061329086623257,0.5073342251555607,0.10235502135681665
8,0.1785796865626121,0.15302977018767336,0.15588072647110357,0.12764347433403755,0.23647016677526186,0.3229352932965009,0.5290336856805581,0.06627012837560639
9,0.21873433084952054,0.09355726034777948,0.28246241468603633,0.13535460006355665,0.27980159056787185,0.40442073884922874,0.13011458719295177,0.15123795226320524
10,0.30074967223663635,1.742095507050549e-38,0.25354822761045165,0.32618120079272234,0.3298421540693847,0.0889522372661598,0.43616371945469196,0.13320972803657583
11,0.17946865314590493,0.18065372171892688,0.12923054977544665,0.1891674720802564,0.29310434461236456,0.7051046282683149,0.010965923358000913,5e-324
12,0.25771377709675514,0.23465605116269864,0.27752754389147855,0.14644157780035516,0.0,0.37928184076875376,0.021788927448708972,0.0
13,0.21092901461463454,0.18273976292656913,0.06263736174462638,0.013899279335588518,0.4531383776360948,0.3641678392709789,0.40256679236283627,0.09655171399800087
14,2.6337971018864157e-07,0.13386196230662584,0.22528659892292566,1.6104949126174568e-07,0.36338070004300155,0.3959462357825495,0.4874540043958133,0.07398166325289052
15,7.80436210191015e-123,0.07376576494478675,0.2950056677059618,0.16258206464920238,0.2849803464568984,0.3958304230692812,0.46044079511875313,0.05070085112132716
16,0.2903077551243756,0.24995121271929052,0.28980746901845916,0.219047118885927,0.0,0.1783170116432685,1.4076356374543346e-14,0.0
17,0.21293295830779466,0.09561604867268808,0.1812778859985027,0.12280467366661088,0.30641360511487586,0.03126840205666719,0.5409855160443554,0.05743570501870822
18,0.19692924578102536,0.21224777712129728,0.2854152236098235,0.3964343407586605,0.0,0.21555550789014957,5.011638848383699e-68,0.0
19,0.028258526259163582,0.35539377985990583,0.16643582798358236,0.23261361686541596,0.009870183966269383,0.49691379328902613,0.006109480467218836,0.06576432215698262
20,0.1310361871056751,0.32755282180787804,0.18829306127155462,0.03969454613676715,0.11819634797594357,0.3132102297715739,0.3441620221904891,0.17408895957751985
21,0.28455752286754477,0.21820668356914633,0.2665217446038611,0.18756589908134547,0.04848975519302526,0.1321068207028128,0.28909743491829415,0.0
22,0.17411686078478017,0.13924567428815607,0.23877662930252103,0.29706138321240705,5e-324,0.5533965176009342,0.0,0.3063836007056435
23,0.04365816739525304,0.0851193960341612,0.26960556447169887,0.37826666258780156,0.248834250535796,0.19957141672909784,0.4370696029127275,0.12234833317657003
24,0.23081224996588903,0.3188541112873246,0.1261965408982856,0.16496221068136194,0.0,0.37265606935849827,5.829911974025458e-106,0.0681535509757376
25,0.1443095510440322,0.2917809484968449,0.3948443744615188,0.19878560275264875,0.0,0.21763835167600942,2.116546473094745e-23,0.0
26,0.08992951501269723,0.22126295606328716,0.15588649589542408,0.2923212235833243,5e-324,0.5822572449361333,0.0034312509850354554,0.2689468768364096
27,1.4243101837363607e-19,0.2719546370097291,0.1636257645476568,0.0869540836520668,0.2863891382071868,0.3911006274798073,0.5832909789297225,0.05317521643170468
28,0.2144149553535075,0.2602361228217836,0.2502665079948322,0.1333935218712894,0.2506283949054576,0.10734401586281427,0.48881303484873967,0.17858137712440225
29,0.063988894161889,0.2755022370286919,0.2006209134769953,0.16919725664639884,0.22918551594571748,0.24731203918597242,0.49041468859043774,0.13218276594400377
30,0.24872518576975366,0.14256543793811388,0.0934935740350886,0.3702525410208402,0.013366677418502273,0.36498067409933976,0.012706239484000919,0.0
31,0.19492419985886214,0.38144888027513335,0.057107731626057416,0.010682371432031927,0.22956963618370937,0.5479065241236218,5e-324,0.19420298039361872
32,0.26651894355895733,0.29956179605910954,0.07286321211150018,1.6519640104789932e-33,0.3055783109287426,0.5051645270957285,0.0,0.33839811657687896
33,0.04854926116690229,0.15185726750743456,0.24442984666543627,0.1261912297517664,0.318674642386931,0.447769561637583,0.35412261007436846,0.1465605115426124
34,0.3209933191114856,0.14151754775325404,0.22477140535757886,0.18126506791093713,0.0,0.2467124234440116,0.009513842256724669,0.00014748182841734927
35,0.18225970872462025,0.3545094350678926,0.1356817473027543,0.10649813119500054,0.03974385718079429,0.16849054102864394,0.21953296253041485,0.17811856989645847
36,0.11956716223036298,0.21515851042958561,0.0005018162890271987,0.1459762325667692,0.6737531012125005,0.6662073584437513,1.0092832326635012e-225,0.2661759444752854
37,0.15692158924931016,0.4031132184450665,0.13819184789472014,0.08473233291538808,0.34407406767207743,0.19712119853158988,0.43265765840137504,0.043098571830065165
38,0.1985303102198462,0.087096354110824,0.12449843165339855,0.2300125953845476,0.3049847587811158,0.15651071893873317,0.4764880137943213,0.14349806699500275
39,0.08909578299426935,0.2656564258920863,0.22731577980606016,0.32252712932998756,0.0,0.3155586783926717,0.13645527644288355,0.09349755416709739
40,0.2858592752050949,0.34322568062544223,0.04373895651306214,0.30441823970289855,0.0,0.33294278247073295,2.7206255312366845e-109,0.0681535509757376
41,0.13475685327661927,0.2348865357253577,0.19769151481048225,0.1386179778245145,0.06060275334878369,0.5491460871388978,0.0547395729087965,0.2810798469201648
42,0.2311825046359799,0.1728408300320781,0.2516054535229797,0.27558608118014793,0.0,0.3355889017136192,2.5e-323,0.16393120659651111
43,1.9349919459898114e-34,0.19330197568066845,0.16064377404675298,0.10736606617009269,0.3481024408048181,0.6088892052181968,0.43403206865231125,0.06682151971102479
44,0.025132040550188427,0.3420013991231085,0.35724689277096633,0.10374910019325886,0.0,0.4063963459947125,2e-323,0.031035964397631784
